"","Range","Prefix","Number","My Payout","Client","Payout","Limits"
"","Afghanistan-New-Allapp","","93771072597","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93776423554","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93770732191","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93775540090","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93763977992","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93760405173","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93765650275","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93766492052","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93778982228","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93761511283","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93774076788","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93767817299","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93766692273","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93761378738","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93773799873","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93775850729","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93760096448","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93765224740","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93776446480","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93777331994","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93777454985","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93779981033","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93775230461","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93771279430","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93776925197","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93774832932","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93775207972","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93770973077","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93776067952","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93760377020","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93761403820","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93774734248","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93773418921","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93779253395","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93776945068","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93762543178","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93768527533","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93762473827","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93764707240","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93762089439","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93764540405","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93774310774","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93772938693","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93767142676","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93768948955","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93763979690","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93761628306","Weekly$ 0.007","","","SD : 0 | SW : 0"
"","Afghanistan-New-Allapp","","93764503579","Weekly$ 0.007","","","SD : 0 | SW : 0"
